palabra,tipo,significado
CHAQUETEAR,v.,"Huir ante el enemigo. / Acobardarse ante una dificultad. / Cambiar de bando o partido por conveniencia personal. / Impedir por malas artes, normalmente el desprestigio, que alguien se destaque o sobresalga. / Actuar servilmente. / Masturbar.
S. desertar, fugarse, evadirse, escabullirse, escurrirse, ausentarse, dispersarse, desaparecer, irse, retirarse, alejarse, apartarse, esquivar, eludir, amedrentarse, achicarse, amilanarse, atemorizarse, espantarse, abatirse, asustarse, desanimarse, desalentarse, descorazonarse, permutar, canjear, trocar, alternar, mudar, variar, invertir, recambiar, frenar, paralizar, imposibilitar, embargar, empantanar, atollar, contener, interrumpir, ocupar, atascar, obstruir, obedecer, acatar, someterse, subordinarse, excitar, estimular, provocar
A. presentarse, regresar, enfrentar, encarar, oponer, plantarse, retar, desafiar, permanecer, dejar, abandonar, dirimir, resignar, rebelarse, desobedecer
C. Era de esperarse que alguien tan cobarde como él terminase por chaquetear al ver al enemigo."
CHARADA,f.,"Acertijo en que se trata de adivinar una palabra, haciendo una indicación sobre su significado y el de las palabras que resultan tomando una o varias sílabas de aquella.
S. adivinanza, jeroglífico, rompecabezas, problema, crucigrama, quisicosa, pasatiempo, misterio, incógnita, enigma, laberinto
A. evidencia, prueba, certeza, certidumbre
C. Es muy difícil acertar qué palabra es la que nos quiere decir cuando no se es experto en charada.
(2) Llama que se levanta del fuego y se apaga pronto."
CHARANGA,f.,"Banda de música formada por instrumentos de viento y percusión. / Banda de música de carácter jocoso.
S. murga, conjunto, comparsa
C. La charanga se encargó de animar la fiesta al tocar una serie de cumbias de moda."
CHARLATÁN,adj.,"Que habla mucho y sin sustancia. / Hablador indiscreto. / Vendedor callejero que anuncia a voces su mercancía.
S. gárrulo, hablador, lenguaraz, parlero, vocinglero, facundo
A. lacónico, parco, taciturno, callado, silente, parco, escueto, sigiloso
C. Ese charlatán solo sabe hablar tonterías."
CHAROL,m.,"Barniz muy lustroso y permanente, que conserva su brillo sin agrietarse y se adhiere perfectamente a la superficie del cuerpo a que se aplica. / Cuero con este barniz. /Bandeja. 
S. lustre, brillo, brillantez, relumbro, viso, piel, superficie, corteza, cáscara, pellejo, cubierta, plato, cajón, recipiente, dulcera, escudilla, fuente, azafate, batea, salva, salvilla, portador
C. Había embetunado los botines de charol que él quería tener puestos en el ataúd."
CHARRÁ,adj.,"Pillo, tunante. 
S. tunante, tuno, zascandil, chisgarabís, bribón, sinvergüenza, golfo, pícaro, ladino, astuto, indecente, inmoral, malicioso, taimado, listo, malicioso, disimulado, pillastre, malandrín, ruin, rufián, cínico, pícaro, villano, travieso, tramposo, vivo, innoble
A. honrado, decente, virtuoso, íntegro, recto, entero, sano, moral, noble, probo, justo, intachable, incorruptible, austero, pundonoroso, honorable, respetable, consciente, ennoblecido, correcto
C. Charrán había resultado el chaval como para hacerte semejante picardía y se saliera con la suya.
(2) Ave marina de cuerpo grácil, parte superior de la cabeza de color negro, pico largo y afilado y cola profundamente ahorquillada, se denominan golondrinas de mar."
CHARRETERA,f.,"Señal exterior para distinguir personas, grados u otras cosas de carácter militar hecha de oro, plata, seda u otra materia, en forma de pala, que se sujeta al hombro por una presilla.
S. galón, hombrera, fleco, albardilla, pala, trencilla, cordón, divisa, insignia, distintivo, broche, hebilla, emblema, cadejo, orla
C. Se inventó un uniforme con galón y charretera de mariscal, inspirado en las láminas de un libro militar."
CHASCARRILLO,m.,"Anécdota ligera y picante, cuentecillo agudo o frase de sentido equívoco y gracioso.
S. historieta, cuento, fábula, hablilla, narración, relato, chiste, ocurrencia, agudeza, chilindrina, habladurías
C. Nos echamos a reír pues Marco nos contó un chascarrillo que según él fue algo que le sucedió en el extranjero."
CHASCO,m.,"Burla o engaño que se hace a alguien. / Decepción que causa a veces un suceso contrario a lo que se esperaba.
S. error, patinazo, pifia, chambonada, equivocación, desliz, tropezón, traspié, resbalón, desilusión, desengaño, despecho, fiasco, desesperanza, fracaso, desaliento, frustración, desánimo
A. acierto, tino, verdad, ánimo, optimismo, ilusión, esperanza
C. Se llevaron un chasco al creer que podrían aprobar el examen comprando las respuestas que terminaron por ser falsas.
(2)Enmarañado, del pelo y del plumaje."
CHATEAR,v.,"Beber en un vaso ancho y bajo el vino.
S. gustar, catar, trincar, probar, saborear, ingerir, succionar, sorber, chupar, consumir, tomar, absorber, brindar, refrescar, emborracharse
C. El beodo no se cansaba de chatear uno tras otro hasta acabar con la botella de exquisito vino."
CHAUVINISMO,m.,"Exaltación desmesurada de lo nacional frente a lo extranjero.
S. chovinismo, patriotismo, patriotería, fanatismo, xenofobia, intolerancia
A. tolerancia, aceptación, ecuménico
C. Algunos historiadores peruanos alientan el chauvinismo en sus alumnos al comparar la bonanza peruana con la miseria de otros países de la región."
CHAVAL,m. y f.,"Niño o joven.
S. muchacho, mancebo, adolescente, mozalbete, doncel, mozo, chiquillo, crío, infante, chico, pequeño, impúber, mocito, criatura, bebé, pollito, párvulo, escuincle, peque, nene
A. viejo, abuelo, maduro, veterano, anciano, longevo, centenario, mayor, patriarcal, octogenario, nonagenario, ochentón
C. Con sabios consejos y buen ejemplo se puede corregir hasta al más travieso chaval de la escuela."
CHAYA,f.,"Burlas y juegos del carnaval. / El carnaval mismo.
S. bromas, chanzas, guasas, zumbas, candongas, chacotas, fiestas, chascos, sátiras, sarcasmos, ironías, socarronerías, pullas, chistes, ridiculeces, chirigotas, cuchufletas, mojigangas, remedos, mofas, befas, escarnios, novatadas, carnestolendas, mascarada, comparsa, carnal, farsa, orgía, desenfreno
A. respeto, seriedad, consideración, verdad, moderación, abstinencia, continencia, seriedad, rigor
C. Durante la chaya algunos muchachos aprovecharon para mojar a las chicas y salir luego al paseo del rey momo."
CHAYOTA,f.,"Persona tonta, lerda, falta de iniciativa. 
S. tardo, lelo, torpe, pasado, rudo, tarugo, cernícalo, burro, memo, calmoso, parsimonioso, tardío, premioso, moroso, pausado, pesado, alcornoque, adoquín, cerrado, penco, mostrenco, leño, bruto, ceporro
A. despierto, presto, pronto, solícito, animoso, vivaz, listo, rápido, diligente, capaz
C. El profesor es tan chayota que una vez alcanzado el nombramiento no volvió a organizar evento cultural alguno."
CHENCA,f.,"Colilla, resto del cigarro. / Lagartija sin cola.
S. pucho, resto, sobrante, pitillo
C. Al coger a la lagartija por la cola, ésta se desprendió quedando la sabandija chencha."
CHEPA,f.,"Corcova, joroba. / Suerte favorable. / Jorobado.
S. giba, renga, bulto, gibosidad, estrella, sino, acaso, hado, destino, albur, fatalidad, providencia, casualidad, azar, coincidencia, lance, fortuna, ventura, chiripa, enhorabuena , bienandanza
A. desventura, desdicha, infortunio, desgracia, revés desdicha, miseria, adversidad, malaventura
C. Tiene buena chepa, es por eso que siempre gana en los dados."
CHIBOLO,m. y f.,"Niño. / Chichón. / Cuerpo pequeño y esférico.
S. chiquillo, crío, infante, chico, pequeño, impúber, mocito, criatura, bebé, pollito, párvulo, escuincle, peque, nene, hinchazón, bulto, protuberancia, inflamación, tumefacción, tolondro, bollo, porcino, contusión
A. hombre, adulto, viejo, maduro, desarrollado, crecido
C. Anda ve chibolo y lleva pronto este encargo a tu papa que te estará esperando."
CHIC,adj.,"Elegante, distinguido, a la moda. / Elegancia, distinción.
S. refinado, selecto, aristocrático, exquisito, mundano, señor, fililí, delicado, cuidadoso, dandi, esnob, galano, florido, crema, maniquí, gentilhombre, sobrio, petimetre, currutaco, pisaverde, endomingado, gomoso, lechuguino, figurín, paquete, presumido, lindo
A. grosero, rudo, cursi, chabacano, tosco, descortés, basto, áspero, ordinario, vulgar, ridículo, mamarracho, fantoche, cómico, chusco, histrión, espantapájaros, buñuelo, adefesio, esperpento, mequetrefe, monigote
C. El dandi anda siempre chic."
CHICANO,adj.,"Se dice del ciudadano de los Estados Unidos de América perteneciente a la minoría de origen mexicano allí existente. / Perteneciente o relativo a dicha minoría.
C. A pesar de ser ciudadano estadounidense el chicano buscaba que sus compatriotas reconocieran su origen mejicano."
CHÍCHARO,m.,"Guisante, garbanzo, judía.
S. semilla, alubia, habichuela, fréjol, legumbre, fríjol, grano
C. Usó un chícharo diminuto para darle gusto a la salsa."
CHICHARRA,f.,"Cigarra, insecto hemíptero. / Juguete que usan los niños por Navidad, y consiste generalmente en un canuto corto, tapado por uno de sus extremos con un pergamino estirado, en cuyo centro se coloca una hebra de seda encerada. Pasando por ellas los dedos, hace un ruido tan desapacible como el canto de la cigarra. / Timbre eléctrico de sonido sordo. / Persona muy habladora. 
S. insecto, bicho, juguete, hablador, cotorra, parlanchín, gárrulo, tarabilla, sacamuelas, lenguaraz, locuaz, vocinglero, palabrero, facundo, parlero, verboso, bocazas, lengüilargo, hablista, diserto
A. callado, discreto, mudo, silente, silencioso, prudente
C. Esta chicharra no deja de hablar, debería callarse de una vez."
CHICHE,adj.,"Pequeño, delicado, bonito. / Fácil. /  Persona muy blanca o rubia. / Pecho de la mujer. / Juguete.
S. chico, diminuto, minúsculo, reducido, hacedero, posible, cómodo, factible, realizable, practicable, viable, dable, conquistable, asequible, tratable, sencillo, corriente, chichi, teta, ubre, mamas, seno
A. grande, enorme, gigantesco, tremendo, ciclópeo, monumental, difícil, dificultoso, arduo, espinoso, peliagudo, complejo, trabajoso, agotador, laborioso, enmarañado, morrocotudo, inextricable
C. Con ese moño el cusco se ve tan chiche que hasta parece un peluche.
(1) Carne comestible."
CHICOLEO,m.,"Dicho o donaire dirigido por un hombre a una mujer por galantería.
S. piropo, requiebro, flor, halago, galantería, arrumaco, arremuesco, galanteo, floreo, flirteo, finura, adulación
A. grosería, palabrota, insolencia, naranjada, ofensa, desaire, impertinencia
C. Le lanzó el siguiente chicoleo: “No sabía que los ángeles habían caído del cielo, preciosa”."
CHIFLAR,v.,"Mofar, hacer burla o escarnio en público. / Beber mucho y con presteza vino o licores. / Silbar con el silbato, o imitar su sonido con la boca. / Persona que pierde la energía de las facultades mentales. / Tener sorbido el seso por alguien o algo.
S. abuchear, rechiflar, silbar, desaprobar, criticar, repudiar, afrentar, agraviar, bromear, burlar, tomar, catar, tragar, ingerir, chupar, succionar, pitar, enajenar, enloquecer, abstraer, hipnotizar, prendar, cegar, embaucar, embobar
A. vitorear, aprobar, proclamar, palmotear, glorificar, aplaudir, aclamar, concentrarse, discernir, distinguir, percibir, percatarse, ver, aprehender
C. El hombre solía chiflar a su mujer delante de sus compañeros haciéndola ver como una tonta.
(2) Adelgazar y raspar la  piel curtida y fina de carnero u oveja con la cuchilla."
CHIFLÓN,m.,"Viento colado o corriente muy sutil de aire. / Canal o tubo por donde sale el agua con fuerza del surtidor de una fuente o de la manguera de una bomba de riego. / Derrumbe de piedras en el interior de las minas.
S. hálito, brisa, soplo, céfiro, aura
A. tornado, torbellino, remolino, huracán
C. Un chiflón casi imperceptible se filtró por la hendidura de la puerta trasera, moviendo levemente los abalorios."
CHILINDRINA,f.,"Cosa de poca importancia. / Anécdota ligera, equívoco picante, chiste para amenizar la conversación. / Palabra obscena e inofensiva.
S. bagatela, minucia, nimiedad, bujería, futilidad, pamplina, tilde, bobada, baratija, tontería, fruslería, menudencia, pequeñez, insignificancia, nonada, chirigota, equívoco, historieta, cuento, habladilla, narración, chiste, ocurrencia, dicho, chasco, obscenidad, grosería, insolencia, indecencia
A. trascendencia, importancia, gravedad
C. No puedes darle tanta importancia, olvídate del asunto que es una chilindrina."
CHILLO,m. y f.,"Querido.
S. dilecto, amado, idolatrado, marchante, adorado, estimado, caro, bienquisto, amante, enamorado, anhelado, esperado
A. odiado, aborrecido, repudiado, desdeñado, despreciado, malquisto
C. El hijo menor suele ser el más chillo de la familia.
(1) Silbato que sirve a los cazadores para imitar el chillido de la zorra, la liebre, el conejo, etc"
CHIMAR,v.,"Molestar. / Dicho generalmente del calzado: Rozar, producir roces en la piel. / Tener relaciones sexuales.
S. fastidiar, abrumar, incomodar, aburrir, cargar, importunar, hastiar, hartar, empalagar, fatigar, cansar, agobiar, sofocar, irritar, mortificar, contrariar, atormentar, apesadumbrar, afligir, inquietar, desazonar, perturbar, impacientar, exasperar, enfurecer, encrespar, raspar, restregar, rascar, frotar, fregar, friccionar, fornicar, copular
A. lisonjear, agradar, divertir, gustar, entretener, encantar, deleitar, alegrar, satisfacer, complacer,  contentar, abstenerse, embelesar, seducir, regocijar, congratularse, inhibirse, guardarse
C. Deja de chimar a las chicas con tu estúpida arrogancia de galán, ¿no e das cuenta que nadie te cree?"
CHIMUELO,adj.,"Persona que carece de uno o más dientes. 
S. desmuelado
C. Se quedó chimuelo al perder el diente delantero durante una pelea."
CHINACA,f.,"Conjunto de pobres.
S. pobretería
C. Los hermanos huérfanos junto a los tíos sin empleo formaban la chinaca más miserable de todo el barracón."
CHINGAR,v.,"Importunar, molestar. / Practicar el coito. / Beber con frecuencia vino o licores. / Cortar el rabo a un animal. / No acertar, fracasar, frustrarse, fallar.
S. fastidiar, abrumar, incomodar, aburrir, cargar, hastiar, hartar, empalagar, fatigar, cansar, agobiar, sofocar, irritar, mortificar, contrariar, atormentar, apesadumbrar, afligir, inquietar, desazonar, perturbar, impacientar, exasperar, enfurecer, encrespar, fornicar, copular, catar, tomar, ingerir, absorber, sorber, chupar, succionar, amputar, escindir, trinchar, recortar, errar, equivocar, faltar, malograr, abortar
A. lisonjear, agradar, divertir, gustar, entretener, encantar, deleitar, alegrar, satisfacer, complacer,  contentar, abstenerse, inhibirse, acertar, atinar, topar
C. Este latoso solo sabe chingar con su presencia."
CHINGO,adj.,"De nariz poco prominente. / Animal que tiene rabo más corto con respecto a su especie. /  Vestido corto. /  Desnudo o en paños menores. / Persona elegante. / Montón. / Colilla, resto del cigarro. / Paliza, serie de golpes.
S. ñato, desmochado, chato, romo, aplastado, achatado, despuntado, mocho, corito, pilucho, esnob, dandi, fililí, petimetre, currutaco, pisaverde, endomingado, lechuguino, figurín, paquete, lindo, cúmulo, pila, rimero, parva, acervo, rima, hacina, mogote, arsenal, pilada, muelo, matalotaje, jarcia, hatajo, tumulto, amontonamiento, acumulación, grupo, suma, colección, conjunto, mojón, sarta, acopio, pucho, andanada, tunda, felpa, somanta, vapuleo, azotina, meneo, soba, castigo, apaleo, friega, julepe, trepa
A. narigudo, nasón, narizón, leptorrino, vestido, guarnecido, tapado, cubierto, abrigado, desgalichado, pingajoso, harapiento, desaliñado, pringoso, desarrapado, haraposo, arrapiezo, nada, escasez, carencia, poquedad, parquedad, caricia, mimo, suavidad, agasajo, arrumaco, abrazo, terneza
C. Hay un perro tan chingo que apenas si puede respirar por esa nariz tan estrecha."
